School Level / Category,SNo.,School Code,School Name,Address
School Level: SSS,1,S0494,ASSAM LINGZEY GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Assam Lingzey, Pin: 737135"
School Level: SSS,2,S0253,BARIAKHOP GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Buriakhop, Pin: 737121"
School Level: SSS,3,S0397,BERMIOK TOKAL GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: SSS,4,S0188,BIRASPATI PARSAI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Ranipool, Pin: 737135"
School Level: SSS,5,S0257,BOJOGHARI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Bhojoghari, Pin: 737103"
School Level: SSS,6,S0099,CENTRAL PENDAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Upper Pendam, Pin: 737132"
School Level: SSS,7,S0536,CHAKUNG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Chumbong, Pin: 737121"
School Level: SSS,8,S0124,CHUJACHEN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rongli Bazar, Pin: 737131"
School Level: SSS,9,S0530,DARAMDIN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: SSS,10,S0541,DARAP GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: SSS,11,S0754,DENTAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: SSS,12,S0458,DEORALI GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tadong, Pin: 737102"
School Level: SSS,13,S0466,DIKCHU GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Dikchu, Pin: 737107"
School Level: SSS,14,S0500,DIKLING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: SSS,15,S0488,ENCHEY GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Raj Bhawan, Pin: 737103"
School Level: SSS,16,S0012,HEE- GYATHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Mangan, Pin: 737116"
School Level: SSS,17,S0709,HEE YANGTHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Hee Gaon, Pin: 737113"
School Level: SSS,18,S0694,JORETHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Naya Bazar, Pin: 737121"
School Level: SSS,19,S0753,K.B.LIMBOO GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sribadam, Pin: 737121"
School Level: SSS,20,S0725,KALUK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kaluk Bazar, Pin: 737114"
School Level: SSS,21,S0040,KALZANG GYATSO GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kabi, Pin: 737117"
School Level: SSS,22,S0418,KEWZING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kewzing, Pin: 737139"
School Level: SSS,23,S0487,KHAMDONG SONAMATI MEMORIAL GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Khamdong, Pin: 737134"
School Level: SSS,24,S0254,KHECHUPERI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Khechuperi, Pin: 737113"
School Level: SSS,25,S0403,KITAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kitam, Pin: 737126"
School Level: SSS,26,S0265,KYONGSA GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: SSS,27,S0271,LEGSHIP GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Legship, Pin: 737111"
School Level: SSS,28,S0248,LINGDOK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Lingdok, Pin: 737103"
School Level: SSS,29,S0565,LINGEE GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: SSS,30,S0568,LINGMOO-KOLTHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: SSS,31,S0101,MACHONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: SSS,32,S0102,MAKHA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Makha, Pin: 737138"
School Level: SSS,33,S0080,MAMRING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Bering, Pin: 737106"
School Level: SSS,34,S0749,MANGALBARIA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Takuthang, Pin: 737121"
School Level: SSS,35,S0009,MANGAN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Mangan, Pin: 737116"
School Level: SSS,36,S0018,MANGSHILA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tingchim, Pin: 737116"
School Level: SSS,37,S0507,MODERN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Raj Bhawan, Pin: 737103"
School Level: SSS,38,S0652,NAMCHI GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SSS,39,S0388,NAMCHI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SSS,40,S0391,NAMTHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Namthang, Pin: 737137"
School Level: SSS,41,S0392,NANDUGAON GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Nandugaon, Pin: 737126"
School Level: SSS,42,S0580,PELLING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Pelling, Pin: 737113"
School Level: SSS,43,S0690,PERBING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Parbing, Pin: 737126"
School Level: SSS,44,S0003,PHODONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Phodong, Pin: 737119"
School Level: SSS,45,S0198,RANGPO GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rongpo, Pin: 737132"
School Level: SSS,46,S0183,RANKA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Dhajey, Pin: 737102"
School Level: SSS,47,S0655,RATEYPANI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rateypani, Pin: 737128"
School Level: SSS,48,S0134,RHENOCK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rhenock, Pin: 737133"
School Level: SSS,49,S0181,RUMTEK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rumtek, Pin: 737135"
School Level: SSS,50,S0716,SADAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sadam, Pin: 737128"
School Level: SSS,51,S0476,SAMDONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Samdong, Pin: 737107"
School Level: SSS,52,S0116,SANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sang, Pin: 737134"
School Level: SSS,53,S0132,SINGTAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Singtam, Pin: 737134"
School Level: SSS,54,S0490,SIR TASHI NAMGYAL GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Gangtok Head Office, Pin: 737101"
School Level: SSS,55,S0531,SOMBAREY GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: SSS,56,S0249,SORENG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Soreng, Pin: 737121"
School Level: SSS,57,S0384,SUMBUK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sumbuk, Pin: 737128"
School Level: SSS,58,S0195,TADONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tadong, Pin: 737102"
School Level: SSS,59,S0268,TASHIDING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sinek, Pin: 737111"
School Level: SSS,60,S0402,TEMI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
